System PWS ID,System Name,System Primary Source Water Type,Population,Sample Date,County,PFOS (ng/L),PFOA (ng/L),GenX = HFPO-DA (ng/L),PFBS (ng/L),PFNA (ng/L),PFHxS (ng/L),NC0157138,COLD SPRINGS POA,Groundwater,165,8/8/2023,MACON,0.906,ND,ND.1,ND.2,ND.3,ND.4,NC0368118,HILL TOP MHP,84,5/4/2023,ORANGE,1.98,2.55,8.24,11.9,NC0145171,OAK CREST RETIREMENT ESTATES,98,10/26/2023,HENDERSON,3.43,4.71,6.33,1.34,NC0392126,SUMMERFIELD MHP,110,5/11/2023,WAKE,0.257
NC3041050,CLAPP`S NURSING CTR-APPOMATTOX,Groundwater,265.0,9/5/2023,GUILFORD,3.38,20.2,ND,1.17,3.23,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC1045001,CLEAR CREEK MEADOWS S/D,Groundwater,124.0,8/3/2023,HENDERSON,2.29,3.31,ND,18.9,ND,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0408055,CLEARWATER VALLEY WATER ASSOC,Groundwater,46.0,11/13/2023,BERTIE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0234566,CLEMMONS LEARNING CENTER,Groundwater,75.0,10/24/2023,FORSYTH,2.08,4.53,ND,1.48,ND,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0351176,CLEVELAND MHP,Groundwater,107.0,7/10/2023,JOHNSTON,ND,1.02,ND,0.709,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0136917,CLINE`S LEARNING CENTER,Groundwater,70.0,9/12/2023,GASTON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0201404,CLOVER GARDEN CHARTER SCHOOL,Groundwater,680.0,8/15/2023,ALAMANCE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC0188135,CLUB COLONY S/D,Groundwater,38.0,9/12/2023,TRANSYLVANIA,ND,ND,0.178,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0465112,COLLEGE VIEW MHP,Groundwater,66.0,7/31/2023,NEW HANOVER,13,6.23,1.58,12.9,0.643,2.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0181132,COLONIAL MANOR REST HOME,Groundwater,27.0,11/3/2023,RUTHERFORD,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0149108,COMMODORE PENINSULA WTR SYSTEM,Groundwater,610.0,9/6/2023,IREDELL,ND,ND,ND,1.02,ND,1.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0433030,CONETOE COMMUNITY WATER SYSTEM,Groundwater,1090.0,7/6/2023,EDGECOMBE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0150181,CONTINENTAL CLIFFS,Groundwater,69.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392118,COOLEY`S MHP,Groundwater,109.0,6/1/2023,WAKE,4.87,9.27,ND,5.4,ND,3.97,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC1057005,COTTAGES AT LAKE OSSEROGA,Groundwater,93.0,8/3/2023,MACON,1.03,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC3095030,COTTAGES OF BOONE,Groundwater,890.0,10/19/2023,WATAUGA,ND,ND,ND,0.69,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0145148,COUNTRY ACRES MHP,Groundwater,30.0,9/26/2023,HENDERSON,ND,ND,ND,0.87,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0201105,COUNTRY CLUB MHP,Groundwater,127.0,8/15/2023,ALAMANCE,2.6,1.92,ND,2.19,ND,1.37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0319124,COUNTRY ESTATES MHP,Groundwater,60.0,8/7/2023,CHATHAM,2.03,ND,ND,2.04,ND,1.29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0285130,COUNTRY LIVING APTS,Groundwater,66.0,10/24/2023,STOKES,1.63,1.97,ND,0.752,ND,1.26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0145143,COUNTRY PLACE,Groundwater,97.0,8/30/2023,HENDERSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0111157,COUNTRY PLACE S/D,Groundwater,160.0,8/30/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136369,COUNTRY TIME INN,Groundwater,59.0,9/12/2023,GASTON,4.58,3.87,ND,0.566,ND,5.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0118306,COUNTRY VALLEY II MHP,Groundwater,318.0,11/13/2023,CATAWBA,0.792,2.12,ND,1.6,ND,1.56,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136145,COUNTRYSIDE ESTATES MHP,Groundwater,99.0,8/2/2023,GASTON,0.917,22.8,ND,3.48,ND,2.47,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136382,COVINGTON ACRES MHP,Groundwater,226.0,8/29/2023,GASTON,1.33,2.42,ND,1.98,ND,1.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157153,COWEE MOUNTAIN S/D,Groundwater,46.0,8/3/2023,MACON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0113165,COX MILL,Groundwater,198.0,9/6/2023,CABARRUS,3.44,2.36,ND,4.69,ND,1.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC1045015,CRAB CREEK VALLEY S/D,Groundwater,60.0,8/17/2023,HENDERSON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0201564,CREATIVE CHILD CARE,Groundwater,75.0,11/2/2023,ALAMANCE,ND,1.01,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392229,CREEKSIDE MOBILE VILLAGE,Groundwater,165.0,6/1/2023,WAKE,7.73,1.26,ND,2.33,ND,2.06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0118612,CROSS COUNTRY CAMPGROUND INC,Groundwater,627.0,10/9/2023,CATAWBA,ND,1.23,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0138107,CROSS CREEK S/D,Groundwater,117.0,10/24/2023,GRAHAM,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136371,CROWDER RIDGE MHP,Groundwater,26.0,8/2/2023,GASTON,ND,1,ND,ND,ND,1.27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157143,CULLASAJA CLUB,Groundwater,800.0,8/3/2023,MACON,ND,0.847,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157152,CULLASAJA RIVER S/D,Groundwater,53.0,8/1/2023,MACON,28.4,1.23,ND,3.02,ND,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136383,D&M RENTALS/HENRY MOBILE COURT,Groundwater,58.0,10/24/2023,GASTON,1.97,3.67,ND,2.78,ND,3.19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0149175,DAVIDSON DOWNES,Groundwater,240.0,7/25/2023,IREDELL,ND,2.34,ND,1.82,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392122,DAVIS TOWN MHP,Groundwater,119.0,6/13/2023,WAKE,4.92,3.47,ND,4.49,ND,1.39,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0118112,DEAL APARTMENTS,Groundwater,58.0,10/9/2023,CATAWBA,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0454030,DEEP RUN WATER CORPORATION,Surface Water Purchase,13332.0,9/19/2023,LENOIR,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0156125,DEER PARK HEALTH & REHAB.,Groundwater,290.0,9/6/2023,MCDOWELL,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392389,DEERCHASE S/D,Groundwater,755.0,5/9/2023,WAKE,1.91,1.52,ND,3.97,ND,2.24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136387,DELLINGER`S MHP,Groundwater,53.0,10/18/2023,GASTON,8.84,10.8,ND,10.4,ND,6.28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0155119,DENVER SHORES MHP WATER SYSTEM,Groundwater,229.0,11/7/2023,LINCOLN,ND,0.783,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0279153,DOGWOOD ACRES MH S/D,Groundwater,88.0,10/26/2023,ROCKINGHAM,1.75,1.79,ND,ND,ND,1.19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180188,DOGWOOD ESTATES,Groundwater,64.0,8/14/2023,ROWAN,1.16,2.58,ND,5.42,ND,1.65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136343,DON`S MHP,Groundwater,112.0,8/2/2023,GASTON,26.5,13,ND,9.88,0.868,9.11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136124,DONNA-LYNN MHP,Groundwater,122.0,10/18/2023,GASTON,1.56,2,ND,1,ND,3.37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157144,DOWDLE TRACE S/D,Groundwater,79.0,8/31/2023,MACON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0416117,"DOWN EAST MHP / DEMHP, LLC",Groundwater,107.0,8/9/2023,CARTERET,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC4392116,DUXFORD S/D,Groundwater,76.0,6/1/2023,WAKE,ND,ND,ND,1.24,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136848,EAGLES NEST CDC,Groundwater,85.0,11/20/2023,GASTON,ND,0.871,ND,ND,ND,0.775,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0122107,EAGLE'S VIEW S/D,Groundwater,127.0,8/10/2023,CLAY,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0474015,EASTERN PINES WATER CORP,Surface Water Purchase,23000.0,7/27/2023,PITT,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0362562,ECKERD CANDOR,Groundwater,92.0,8/15/2023,MONTGOMERY,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0197606,ECKERD OF BOOMER,Groundwater,33.0,10/19/2023,WILKES,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0111156,EDEN GLENN MHP,Groundwater,147.0,8/10/2023,BUNCOMBE,ND,2.75,ND,6.53,ND,5.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392127,EDGEMONT MHP,Groundwater,63.0,6/29/2023,WAKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0291104,EDGEWOOD ESTATES,Groundwater,48.0,8/30/2023,VANCE,ND,7.04,ND,6.44,ND,2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180161,EDGEWOOD S/D,Groundwater,259.0,8/14/2023,ROWAN,2.74,6.32,ND,6.17,ND,5.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157155,EL SHADDAI,Groundwater,53.0,10/25/2023,MACON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0368470,EMERSON WALDORF SCH-GRADE SCH,Groundwater,335.0,5/23/2023,ORANGE,0.992,1.21,ND,1.38,ND,1.62,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC4092144,ETHAN MEADOWS S/D,Groundwater,43.0,5/31/2023,WAKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0368162,EUGLENA JUNCTION,Groundwater,79.0,5/23/2023,ORANGE,ND,1.12,ND,3.19,ND,1.46,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180110,FAIRFIELD ACRES,Groundwater,158.0,8/14/2023,ROWAN,6.54,8.62,ND,6.44,ND,3.21,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0279134,FAIRGROVE MHP,Groundwater,244.0,9/21/2023,ROCKINGHAM,ND,ND,ND,0.84,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0105432,FAIRWAY RIDGE WATER ASSOC INC,Groundwater,173.0,8/3/2023,ASHE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392131,FARM ROAD TRAILER PARK,Groundwater,28.0,10/19/2023,WAKE,6.03,9.11,ND,3.93,ND,9.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0353127,FARM WATER WORKS,Groundwater,167.0,7/19/2023,LEE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0424673,FARMERS UNION COMM DEVELOPMENT,Groundwater,83.0,8/8/2023,COLUMBUS,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Surface Water,214137.0,2/20/2023,CUMBERLAND,20.5,5.34,0.485,5.67,ND,15.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Surface Water,214137.0,2/20/2023,CUMBERLAND,19.9,5.32,0.556,5.49,ND,17.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0465119,FIGURE 8 ISLAND,Groundwater,999.0,7/31/2023,NEW HANOVER,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC4092179,FISH HAWK RANCH S/D,Groundwater,171.0,5/16/2023,WAKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180111,FISHERMAN`S COVE WATER SYSTEM,Groundwater,348.0,11/2/2023,ROWAN,1.78,3.59,ND,3.97,ND,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0157102,FLAT MOUNTAIN ESTATES,Groundwater,109.0,10/18/2023,MACON,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0145113,FLETCHER ACADEMY INC,Groundwater,965.0,9/19/2023,HENDERSON,1.05,1.55,ND,2.19,ND,1.14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC2002001,FOREST ACRES WATER CORPORATION,Groundwater,79.0,10/4/2023,ALEXANDER,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136359,FOREST HILL MHP,Groundwater,89.0,8/22/2023,GASTON,ND,2.25,ND,0.572,ND,1.33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0201112,FOREST VALLEY MHP,Groundwater,99.0,8/29/2023,ALAMANCE,1.84,1.73,ND,1.78,ND,0.969,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0235101,FOX PARK MHP,Groundwater,158.0,7/24/2023,FRANKLIN,3.48,9.6,ND,12.6,1.73,3.55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0145156,FRUITLAND MHP,Groundwater,75.0,8/3/2023,HENDERSON,ND,1.79,ND,3.87,ND,3.94,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180115,GADDY MHP,Groundwater,76.0,7/27/2023,ROWAN,11,12.3,ND,7.66,ND,4.65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0293112,GASTON HEIGHTS S/D,Groundwater,76.0,7/20/2023,WARREN,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0112109,GINGERCAKE ACRES,Groundwater,270.0,10/5/2023,BURKE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC4092155,GLEN CREEK,Groundwater,229.0,7/13/2023,WAKE,14.1,17,1.11,1.88,1.96,3.87,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0136357,GLORIA ACRES MHP,Groundwater,122.0,11/13/2023,GASTON,10,4.35,ND,11.2,ND,29.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0416130,GOOSE CREEK RESORT,Groundwater,1600.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180692,GRACE BIBLE CHURCH,Groundwater,200.0,9/11/2023,ROWAN,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0416489,GRAMERCY CHRISTIAN SCHOOL,Groundwater,220.0,8/1/2023,CARTERET,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0106108,GRANDFATHER GOLF & COUNTRY CLU,Groundwater,250.0,10/19/2023,AVERY,10.3,2.5,ND,1.4,ND,4.73,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0106422,GRANDFATHER HOME SOUTH CAMPUS,Groundwater,99.0,10/19/2023,AVERY,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0120109,GRANNY SQUIRREL,Groundwater,142.0,9/20/2023,CHEROKEE,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0239103,GRANVILLE FAMILY PARK,Groundwater,232.0,10/19/2023,GRANVILLE,1.6,1.15,ND,2.1,ND,1.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0239124,GRANVILLE PINES MHP,Groundwater,53.0,8/30/2023,GRANVILLE,1.37,5.9,ND,ND,ND,1.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC3041119,GREATER VISION ACADEMY,Groundwater,125.0,9/21/2023,GUILFORD,1.31,1.29,ND,0.644,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0180201,GREEN ACRES MHP,Groundwater,71.0,9/19/2023,ROWAN,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0454109,GREEN ACRES MHP,Groundwater,229.0,11/17/2023,LENOIR,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0113158,GREEN OAKS S/D,Groundwater,46.0,10/12/2023,CABARRUS,6.42,3.77,ND,3.48,ND,2.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0392223,GREEN PINES PARK,Groundwater,66.0,7/25/2023,WAKE,12.5,9.79,0.213,4.78,ND,4.85,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0144489,GREEN VALLEY MHP,Groundwater,110.0,7/27/2023,HAYWOOD,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0474140,GREGORY MEADOWS AT BELVOIR NO. 1,Groundwater,124.0,7/27/2023,PITT,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0474142,GREGORY MEADOWS AT BELVOIR NO. 2,Groundwater,200.0,7/27/2023,PITT,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0279110,GUILROCK WEST MHP,Groundwater,100.0,9/5/2023,ROCKINGHAM,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC7071022,HAMPSTEAD PINES,Groundwater,178.0,8/7/2023,PENDER,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,NC0195111,HAMPTON MHP,Groundwater,37.0,7/11/2023,WATAUGA,3.83,3.21,ND,6.95,ND,1.17,,,,,,,,,,,,,,,,,,,,,,,,
